用户id,颜色,内存,评论
12526556568,黑色,64GB,目前很香，信号还可以日常三到四格，京东买手机真的是碰运气，品控不定，有好的有坏的，吃鸡很流畅。画质我觉得很好呀，看不出来啥大颗粒，，大黑框的话根本看不出来好吧，安个手机壳更看不出来了，续航可以。后续用一段时间再追评吧
12424122429,蓝色,64GB,信号不太好，黑边真的很大！没有3D touch ！不过能接受？照相真的很好很强大单射可以拍人像！屏幕很细腻，没有720P的颗粒感。反应速度很快，体验很好，再看看iPhone6简直就是天壤之别。15年到现在，在京东买了5台手机都是全新机。没有试过是二手的！买到二手的人是什么运气？
12382329025,蓝色,128GB,还不错，用了几天来评价，很流畅，信号也不错，不知道咋回事，开封以后是开机状态，测试了下应该是原装原封，可能是运输的问题，京东的封条还贴错地方了，相信京东，但愿别出什么幺蛾子，蓝色的给人眼前一亮的感觉，信号也没那么差，很稳定，也没网上说的那种颗粒感，没有3D touch单摄也还好，屏幕够大，很流畅，已经上手了，真香！！！
12162698619,黑色,128GB,手机收到很满意，从6s换到xr觉得挺好用。一直犹豫买xs还是xr，但是觉得xs屏太小，又觉得max屏太大，所以选了xr，大小刚好，比8p小点，还能单手操作，超级喜欢。至于大黑边能接受，屏幕分辨率也够用，不影响。总之很喜欢。信任京东，都在这买了好几个苹果手机了！
12353792302,黄色,128GB,使用两天了，目前没有发现什么大问题，收到手机未@，黄色的非常漂亮，送的壳也很有质感，使用流畅，屏幕没有毛病，机身无任何磕碰的痕迹。唯一的遗憾，就是打电话有电流声，不过可以接受。快递是次日达，非常快捷。总体非常棒，物美价廉，有保障～
12538798525,珊瑚色,64GB,使用很好  很不错 感觉也很帮 没有 感觉到 屏幕的差 完全接受的 看不出区别  性能王者   很流畅
12434223466,黑色,128GB,因为我在用这个手机，无法拍照片，只能拍一下盒子，以证明，说一下真实感受，使用四天才来评价，续航很长，使用一天毫无压力，系统也特别流畅，另外信号也很好，能真实反映两张卡的信号强度，屏幕我看不出来区别，拍照和摄影在黑暗处表现很出色
12409377809,黑色,128GB,刻意挑刺 &hellip; 并挑不出来什么刺 从6s换的 没发现网传信号差的问题 在家信号反而比6s好  双卡很稳定 外观很喜欢 黑色一体感很强 绝对黑色算是xr里比较不显廉价的颜色了 边框完全能接受！
12542502053,黄色,128GB,新年期间买的，黄色很喜欢，边框影响不大，续航很棒，重量可以接受。分辨率刚开始觉得不咋样，用久了也觉得还行。拍照有点偏黄。性价比还是非常棒的。
12494868083,蓝色,128GB,第一次用iphone，与安卓手机不一样，因此操作不熟练，不是那么方便，但这个128g真好、可以装好多视频和app 一点都不卡，现在超值价格入手很合适。蓝色很漂亮。
12400844598,黑色,128GB,手机系统很顺畅，操作很跟手；电池可以用一天，还是挺耐用的；分比率低的问题没啥感觉。手机整体挺好，没有小啥毛病，比较省心。
12442872203,黑色,128GB,给老婆买的，春节礼物!今天下单明天到，配送完美，所谓的颗粒感和大黑边都无视，价格比~贵100，可以接受，真心不敢在那边碰运气，处理器强大，使用流畅，双卡使用感觉不如安卓机器方便!电池比原来的6SP强，毕竟是新机!
12402682291,白色,128GB,到手挺满意，手机包装不错，没遇到退回机，很开心，信号没啥问题，然后因为喜欢厚重的手感选择的xr，现在买蛮划算的，免息券和满减。白色还是很漂亮的，嘻嘻，待机很久，比我刚换完电池的iphone7长很久。黑边还好，能接受，个人不是很在意这个。
12536348874,红色,128GB,之前用的6sp 用了差不多三年 这次意外坏掉了 不值得修了又买了新的 这款XR体验的很好 备忘录里还可以自己插图 音质像装了个低音炮一样的 运行非常流畅 很感谢京东  &hellip;&hellip;
12344781101,黄色,128GB,max用了两个多月 oled屏幕眼睛实在受不了，尤其我重度吃鸡患者。又买了部xr，骚黄色非常赞，也挺香。
12422709742,红色,128GB,颜色绝对正，骚气的红色，漂亮，大新年的红红火火，美起来，大黑边看久了也还行，没那么嫌弃，电池确实还不错，以我这用的度来说，真心可以，喜欢很喜欢?
12331589603,黑色,128GB,看了很久的手机，比较划算的一款，内存大，还可以双卡双待，说下用这几天的感受吧，用惯了闪充的手机，这苹果的手机充电是真的很慢，手机在百分之七八十以上的时候比较耐用，手机略厚，很沉。之前用的都是安卓，第一次用苹果，总体来说，就拍照啊各种来说，挺好的，拍出来很真实，没有美颜过度。
12472556556,黑色,128GB,"1.首先我要说的是它的续航，我估计它应该是所有iPhone手机中续航能力最强的，我算是重度手机使用者了这一天下来完全没问题（PS：但是我不打游戏的）为续航打call！

2.流畅度。是真的很棒！反应超级快，不是超快，是真的超级快。（呃&hellip;&hellip;也可能我才从我超慢的安卓机过来，所以带有主观色彩）无论你开了多少app，也没有丝毫影响它的流畅度。

3.大家最为关注的屏幕问题。其实在买这款手机之前我也曾纠结过买iPhoneX，但是网评很多说它对眼睛伤害太大，特别是晚上，而我晚上经常看小说，晚上关上手机后经常会流泪。（敲黑板！这里是生理泪水，不是因为晚睡而留下的悔恨的泪水）所以果断入了iPhoneXR。大家担心的显示的问题，我觉得完全OK的。不会很差，你要实在担心，可以去体验店看看是最好的，(对这方面要求高的小伙伴，要去实体店看看哦，因为苹果手机一旦激活，是不能退货的哦）毕竟这个每个人的要求也不一样。"
12437255314,红色,128GB,第一天买第二天就到，快，京东自营就是强，手机从6升到XR，感觉一个字快，二个字，超快，屏幕没感觉不清楚，也没感觉边框难看，厚一点手感更好，总的来说是满意，
12528601862,珊瑚色,128GB,过女神节买给媳妇儿的，是的，就在这天她变成我媳妇儿的，说说手机，我一直用的华为，这款在降价后性价比可以，有多个颜色可选，电池很耐用了，买了小米的无线充电器，性价比很高，很流畅，但是用习惯了安卓，在一些操作上，不如9.0的便利，比如返回，通知栏直接设置wifi，显示电池电量，网速这些，在动画过场这方便，还是苹果比较讨眼球，用的来说，这块机器还是挺好的～
12539110643,黑色,128GB,手机很棒，大品牌，全面屏，屏占比占比大，刘海还是有点不太习惯，屏幕素质好，清晰，后置摄像头不错，呈像好，前置摄像头自拍也很棒，，面部识别也很快，发货很快，京东快递也快。
12421171648,白色,64GB,用了一个月来评价，一直在用苹果，这部XR感觉不错，面部解锁感觉更快了，电量也很充足，显示屏画质也很高，虽然是单摄像头也很满足了，XR外观也很漂亮，总而言之好评啦！
